date,division,store_id,product_category,sku_id,sku_name,basket_driver,cold_chain,dc_on_hand,in_store_stock_start,in_store_stock_end,oos_flag
6/21/2025,1,2,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,1772,90,135,0
6/21/2025,1,2,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,1451,158,129,0
6/21/2025,1,2,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,1919,137,127,0
6/21/2025,1,2,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,2206,121,102,0
6/21/2025,1,2,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,1569,89,64,0
6/21/2025,1,2,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,2657,105,88,0
6/21/2025,1,2,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,2780,136,131,0
6/21/2025,1,2,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,1013,76,72,0
6/21/2025,1,3,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,1665,73,135,0
6/21/2025,1,3,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,1451,147,128,0
6/21/2025,1,3,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,1919,74,55,0
6/21/2025,1,3,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,2206,141,130,0
6/21/2025,1,3,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,1569,138,119,0
6/21/2025,1,3,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,2657,117,95,0
6/21/2025,1,3,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,2780,61,54,0
6/21/2025,1,3,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,1013,167,161,0
6/21/2025,1,6,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,1665,187,158,0
6/21/2025,1,6,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,1434,81,75,0
6/21/2025,1,6,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,1919,146,127,0
6/21/2025,1,6,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,2206,70,55,0
6/21/2025,1,6,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,FALSE,TRUE,1569,191,167,0
6/21/2025,1,6,Produce,SKU-BER-001,Berries Strawberries 1lb,FALSE,TRUE,2657,125,100,0
6/21/2025,1,6,Seasonal,SKU-WML-001,Watermelon Seedless Whole,FALSE,FALSE,2780,142,139,0
6/21/2025,1,6,Seasonal,SKU-PUM-001,Pumpkin Carving Medium,FALSE,FALSE,1013,197,194,0
6/21/2025,1,7,Produce,SKU-BAN-001,Bananas Cavendish 1lb,TRUE,FALSE,1588,99,135,0
6/21/2025,1,7,Produce,SKU-APP-001,Apples Gala 3lb,TRUE,FALSE,1397,67,75,0
6/21/2025,1,7,Produce,SKU-APP-002,Apples Honeycrisp 2lb,FALSE,FALSE,1914,61,45,0
6/21/2025,1,7,Produce,SKU-ORG-001,Oranges Navel 4lb,FALSE,FALSE,2206,108,96,0
