date,sku_id,sku_name,store_id,division,most_likely_out_of_stock_reason
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,23,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,28,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,29,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,38,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,41,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,43,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,45,Batavia,Supply chain delays from vendor
2025-06-24,SKU-BAN-001,Bananas Cavendish 1lb,48,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,3,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,7,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,8,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,16,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,18,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,21,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,23,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,28,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,29,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,31,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,33,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,35,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,37,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,38,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,41,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,43,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,45,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,47,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,48,Batavia,Supply chain delays from vendor
2025-06-25,SKU-BAN-001,Bananas Cavendish 1lb,50,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,2,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,3,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,6,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,7,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,8,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,9,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,14,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,15,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,16,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,18,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,21,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,23,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,28,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,29,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,31,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,33,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,35,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,37,Batavia,Supply chain delays from vendor
2025-06-26,SKU-BAN-001,Bananas Cavendish 1lb,38,Batavia,Supply chain delays from vendor
