date,division,store_id,product_category,sku_id,sku_name,store_po_id,store_po_qty
6/21/2025,1,35,Produce,SKU-BER-001,Berries Strawberries 1lb,STPO-042FF7B8,24
6/21/2025,1,6,Produce,SKU-APP-001,Apples Gala 3lb,STPO-05812754,17
6/21/2025,1,41,Produce,SKU-BER-001,Berries Strawberries 1lb,STPO-0FE2B91F,29
6/21/2025,1,14,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-16B7D4A3,55
6/21/2025,1,35,Produce,SKU-ORG-001,Oranges Navel 4lb,STPO-1A9B1960,2
6/21/2025,1,9,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-1C8E080E,62
6/21/2025,1,23,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-1D257E4B,105
6/21/2025,1,45,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-1EDE9C9C,110
6/21/2025,1,3,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-237E97A8,107
6/21/2025,1,28,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-2CB268D4,96
6/21/2025,1,29,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-2F3BF00E,13
6/21/2025,1,18,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-3D0F1766,63
6/21/2025,1,7,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-3DA78F85,77
6/21/2025,1,8,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-45B34CF3,33
6/21/2025,1,37,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-4B2BAC31,84
6/21/2025,1,29,Produce,SKU-APP-001,Apples Gala 3lb,STPO-5F630C2C,49
6/21/2025,1,15,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-6EA7F63C,32
6/21/2025,1,7,Produce,SKU-BER-001,Berries Strawberries 1lb,STPO-755DDB3D,22
6/21/2025,1,14,Produce,SKU-LEF-001,Leafy Greens Spinach 10oz,STPO-76903746,16
6/21/2025,1,50,Produce,SKU-BER-001,Berries Strawberries 1lb,STPO-76F37B4C,3
6/21/2025,1,47,Produce,SKU-APP-001,Apples Gala 3lb,STPO-851209C7,12
6/21/2025,1,43,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-86686B93,77
6/21/2025,1,33,Produce,SKU-APP-002,Apples Honeycrisp 2lb,STPO-87B25DA0,4
6/21/2025,1,41,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-8835E86E,108
6/21/2025,1,7,Produce,SKU-APP-002,Apples Honeycrisp 2lb,STPO-9C19303B,5
6/21/2025,1,43,Produce,SKU-BER-001,Berries Strawberries 1lb,STPO-9FB80CAC,30
6/21/2025,1,50,Produce,SKU-APP-001,Apples Gala 3lb,STPO-A339D5E1,27
6/21/2025,1,9,Produce,SKU-APP-001,Apples Gala 3lb,STPO-A7174C82,27
6/21/2025,1,7,Produce,SKU-APP-001,Apples Gala 3lb,STPO-BDFABFB9,37
6/21/2025,1,43,Produce,SKU-ORG-001,Oranges Navel 4lb,STPO-BF99D37C,19
6/21/2025,1,35,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-D257FDE5,68
6/21/2025,1,50,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-DEC52DA6,120
6/21/2025,1,2,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-E36630C9,87
6/21/2025,1,21,Produce,SKU-ORG-001,Oranges Navel 4lb,STPO-F6C03F34,16
6/21/2025,1,16,Produce,SKU-BAN-001,Bananas Cavendish 1lb,STPO-F739AA45,31
